Month,OB (Bcm),Coal (Ton),Distance OB (KM),Distance Coal (KM),Fuel
Jan-23,17384635.26,1168560.89,4.04914656,13.13320618,30019859
Feb-23,15768223.79,1167988.8,4.001955879,13.35685257,28741904
Mar-23,19750434.03,1374953.69,3.647640367,13.54175981,33406642
Apr-23,17571138.89,1394514.55,3.527484565,12.66475421,28702688
May-23,18533067.06,1573064.01,3.879661679,11.88740559,32465717
Jun-23,18649038.45,1563274.16,3.722714783,10.89159805,31244147
Jul-23,20742898.38,1683865.84,3.827571422,12.96160004,33571132
Aug-23,23445864.03,1764668.4,3.731248119,13.41072309,35625395
Sep-23,21119800.96,1754962.71,3.82926568,12.10798149,33384423
Oct-23,22294833.78,2017816.93,4.198328006,11.98946658,36447204
Nov-23,20776000.54,1761585.72,4.067367821,11.92203298,33659338
Dec-23,18888171.55,1274742.72,4.274601603,12.54236064,32589701
Jan-24,18764364.43,1794218.293,4.187584701,13.548091,31819804
Feb-24,17758063.49,1453870.841,4.367931156,14.07519585,30686841
Mar-24,19184562.84,1560546.053,4.440031615,14.69575609,32037039
Apr-24,18390434.76,1655073.208,4.231823561,14.07642018,29999319
May-24,18832875.87,1715743.806,4.361404574,14.19626492,32426842
Jun-24,15216375.49,1759282.919,4.934113521,11.37291737,28621380
Jul-24,15124626.7,1684983.779,5.140218683,11.43819094,30681119
Aug-24,17004298.81,1849275.791,4.621781868,12.59054428,30989378
Sep-24,17225304.6,1727929.387,4.772161732,13.59159879,31851080
Oct-24,16503268.26,1752797.375,4.588763812,12.15411075,31127444
Nov-24,15398246.98,1518041.534,4.794842668,13.7644887,30675035
Dec-24,15378584.85,1128237.018,4.651142288,13.72474473,30883432
Jan-25,13918891.69,1385756.39,4.757,14.770,27564154
