Month,OB (Bcm),Coal (Ton),Distance OB (KM),Distance Coal (KM),Fuel
Jan-22,6342140.08,605234.2413,3.11212,3.21846,10520869
Feb-22,5823270.897,618762.3575,2.96146,3.11364,9682808
Mar-22,6933576.821,698839.3928,2.86811,2.75086,11108421.09
Apr-22,6871894.236,768925.398,2.75201,2.99294,10909400.76
May-22,6855367.144,763376.6627,2.77473,2.98955,10778860
Jun-22,7877077.971,792467.7093,3.04653,2.9939,11924477
Jul-22,8027302.34,862138.2398,3.13621,2.72403,12574288.39
Aug-22,8272035.55,845467.9442,3.34009,2.86218,13651881
Sep-22,7265423.067,680511.366,3.43014,3.30691,11460744
Oct-22,6042218.678,697972.4994,3.49193,3.45649,10230338
Nov-22,5037992.836,467933.0361,3.7322,3.46512,8289284
Dec-22,6863154.858,625552.1597,3.51967,3.60235,10753612
Jan-23,8523431.308,655324.6049,3.219532356,3.124503588,12182556
Feb-23,7283259.77,638536.2305,3.181442618,3.528152144,10729936
Mar-23,8437724.498,654022.6931,3.098675902,3.318323297,12191766
Apr-23,8497519.113,668734.9907,2.81839931,3.20669436,11712575
May-23,9241841.415,799089.8575,2.74381418,3.3252294,12629214
Jun-23,9346468.248,730889.4311,2.499199174,3.297880566,12413733
Jul-23,11355942.84,886528.2378,2.331672624,3.434063667,13442430
Aug-23,11436752.4,1022958.281,2.446906113,3.196644945,14338151.21
Sep-23,11753338.26,1087563.342,3.003076169,3.36182997,15526761.44
Oct-23,12668872.07,1117502.786,3.30387593,3.643210564,16157303.7
Nov-23,10201084.8,988337.6579,3.249623062,3.719346501,15063466
Dec-23,8489938.84,510512.1,3.599777011,3.949891562,12902411
Jan-24,9812057.27,1165022.829,3.484930417,3.843170615,13852994
Feb-24,8243764.113,953831.2811,3.555925242,3.744673851,12502762
Mar-24,8443628.408,973465.0652,3.235357199,3.737471139,12171890
Apr-24,8121844.502,825111.9261,3.592754699,3.783963632,11835758
May-24,8490362.189,881675.7712,3.805602115,3.974420914,13132614
Jun-24,7964269.358,858993.9845,3.700629287,4.014898594,11949242
Jul-24,9171888.122,871379.157,3.394898994,4.506393793,13323531
Aug-24,8620369.946,918959.1757,3.557688068,4.073075927,12862940
Sep-24,9267766.698,905966.3454,3.567863802,3.933990466,13923364
Oct-24,8852148.864,926384.2646,3.39817636,3.921189228,13156407
Nov-24,9347025.468,927616.4569,3.286252905,3.713011347,13822437
Dec-24,7018231.072,591405.6014,3.500415249,3.974150481,13378343
Jan-25,9167862.142,1017789.611,3.232070307,4.024570667,12472392
Feb-25,9646920.444,1105250.908,3.37946248,4.150510753,14693505
Mar-25,7285197.281,822557.0024,3.187669269,3.831009823,11522134
Apr-25,6637513.797,785542.7392,3.099091783,3.66044759,11078791
May-25,8259847.403,895122,3.274870083,3.601196348,12596862
Jun-25,8511630.593,933490.8715,3.288932667,3.648885081,12167475.59
Jul-25,8815924.641,940488.6719,3.213838243,3.874812108,12673901
Aug-25,7246321.055,805441.9776,3.046340587,4.373262599,11393025
