Month,OB (Bcm),Coal (Ton),Distance OB (KM),Distance Coal (KM),Fuel
Jan-22,6342140.08,605234.2413,3.11212,3.21846,10748881
Feb-22,5823270.897,618762.3575,2.96146,3.11364,10002417
Mar-22,6933576.821,698839.3928,2.86811,2.75086,11381141
Apr-22,6871894.236,768925.398,2.75201,2.99294,11202979
May-22,6855367.144,763376.6627,2.77473,2.98955,11084973
Jun-22,7877077.971,792467.7093,3.04653,2.9939,12224745
Jul-22,8027302.34,862138.2398,3.13621,2.72403,12878052
Aug-22,8272035.55,845467.9442,3.34009,2.86218,14017143
Sep-22,7265423.067,680511.366,3.43014,3.30691,11795031
Oct-22,6042218.678,697972.4994,3.49193,3.45649,10486278
Nov-22,5037992.836,467933.0361,3.7322,3.46512,8546217
Dec-22,6863154.858,625552.1597,3.51967,3.60235,10999363
Jan-23,8523431.308,655324.6049,3.219532356,3.124503588,12425356
Feb-23,7283259.77,638536.2305,3.181442618,3.528152144,10986931
Mar-23,8437724.498,654022.6931,3.098675902,3.318323297,12418643
Apr-23,8497519.113,668734.9907,2.81839931,3.20669436,11957328
May-23,9241841.415,799089.8575,2.74381418,3.3252294,13010202
Jun-23,9346468.248,730889.4311,2.499199174,3.297880566,12638996
Jul-23,11355942.84,886528.2378,2.331672624,3.434063667,13825805
Aug-23,11436752.4,1022958.281,2.446906113,3.196644945,14667622.4
Sep-23,11753338.26,1087563.342,3.003076169,3.36182997,15779740.83
Oct-23,12668872.07,1117502.786,3.30387593,3.643210564,16442547.28
Nov-23,10201084.8,988337.6579,3.249623062,3.719346501,15369985.43
Dec-23,8489938.84,510512.1,3.599777011,3.949891562,13292807
Jan-24,9812057.27,1165022.829,3.484930417,3.843170615,14140112
Feb-24,8243764.113,953831.2811,3.555925242,3.744673851,12827353.36
Mar-24,8443628.408,973465.0652,3.235357199,3.737471139,12450426
Apr-24,8121844.502,825111.9261,3.592754699,3.783963632,12087067
May-24,8490362.189,881675.7712,3.805602115,3.974420914,13386562
Jun-24,7964269.358,858993.9845,3.700629287,4.014898594,12189465
Jul-24,9171888.122,871379.157,3.394898994,4.506393793,13577228
Aug-24,8620369.946,918959.1757,3.557688068,4.073075927,13481651
Sep-24,9267766.698,905966.3454,3.567863802,3.933990466,14535018
Oct-24,8852148.864,926384.2646,3.39817636,3.921189228,13635275
Nov-24,9347025.468,927616.4569,3.286252905,3.713011347,14350871
Dec-24,7018231.072,591405.6014,3.500415249,3.974150481,13979347
Jan-25,9168000,1018000,3.23,4.03,12976828
Feb-25,9647000,1105000,3.38,4.15,15228767
Mar-25,7285000,823000,3.23,3.91,12092210
Apr-25,6638000,786000,3.12,3.74,11552879
